Symbol,Atomic_Number,Atomic_Weight,Period,group,families,Mendele_Number,l_quantum_number,Atomic_Radus,Miracle_Radius_[pm],Covalent_Radius,Zunger_radii_sum,ionic_radius,Orbital_Radius(pm),crystal_radius,Pauling_Electronegativity,MB_electonegativity,Nagle_electonegativity,Pearson_abs_electonegativity,Gordy_electonegativity,Mulliken_EN,Allred-Rockow_electronegativity,metallic_valence,number_of_valence_electrons,gilmor_number_of_valence_electron,valence_s,valence_p,valence_d,valence_f,Number_of_unfilled_s_valence_electrons,Number_of_unfilled_p_valence_electrons,Number_of_unfilled_d_valence_electrons,Number_of_unfilled_f_valence_electrons,outer_shell_electrons,1st_ionization_potential_(kJ/mol),polarizability(A^3),Melting_point_(K),Boiling_Point_(K),Molar_Denstiy_(mol/ml),Density_(g/mL),Molar_Heat_Capacity(J/mol_K),specific_heat_(J/g_K)_,heat_of_fusion_(kJ/mol)_,heat_of_vaporization_(kJ/mol)_,thermal_conductivity_(W/(m_K))_,heat_atomization(kJ/mol),Cohesive_energy,B(Gpa),nws(e/au3),volume(10-6m3),Work_function,G,abs_valence,Nearest_Neighbor_Distance(pm),Critical_Temperature,Low_Temp_Debye(K),High_Temp_Debye(K),Atomic_Concentration(1e-23_cm-3)
In,49,114.82,5,13,5,75,1,1.56,155,1.44,2.05,1.55,138.2,0.94,1.78,1.63,1.52,3.1,4.23,3.1,1.66,3.44,3,3,2,1,10,0,0,5,0,14,2,558,9.7,429.75,2353.15,0.06,7.31,26.41,0.23,3.26,231.5,81.6,243,2.52,41.1,1.6,15.75,4.09,5,1,325,6730,112,129,3.83
Sn,50,118.71,5,14,5,80,1,1.45,155,1.41,1.88,1.45,124,0.69,1.96,1.88,1.7,4.3,4.59,4.3,1.82,4,4,4,2,2,10,0,0,4,0,14,2,709,7.7,505.15,2543.15,0.06,7.31,26.95,0.23,7.03,295.8,66.6,302,3.14,58.2,1.9,16.3,4.42,18,2,281,5809,199,254,2.91
Sb,51,121.76,5,15,6,85,1,1.33,155,1.38,1.77,1.45,119.3,0.9,2.05,2.14,1.88,4.85,5,4.85,1.98,3,5,5,2,3,10,0,0,3,0,14,2,834,6.6,904.15,2223.15,0.05,6.69,25.57,0.21,19.87,77.14,24.3,262,2.75,38.3,2,16.95,4.7,20,3,291,5070,220,200,3.31
Te,52,127.6,5,16,6,90,1,1.23,140,1.35,1.67,1.4,111.1,1.11,2.1,2.38,2.08,5.49,5.44,5.49,2.16,2,6,6,2,4,10,0,0,2,0,14,2,869,5.5,722.65,1262.95,0.05,6.24,25.52,0.2,17.49,52.55,2.35,197,2.19,65,,,4.95,16,4,286,2329,152,0,2.94
I,53,126.9,5,17,8,96,1,1.15,,1.33,1.59,1.4,104.4,2.06,2.66,2.76,2.27,6.76,5.93,6.76,2.36,0,7,7,2,5,10,0,0,1,0,14,7,1008,5,386.65,457.15,0.04,4.93,27.16,0.21,7.82,20.75,0.45,107,1.11,7.7,,,,,5,354,819,109,0,2.36
Xe,54,131.29,5,18,9,102,1,1.08,,1.3,0,1.08,98.6,0.62,2.6,0,2.45,2.45,6.47,,2.58,0,0,0,0,0,0,0,2,6,10,14,0,1170,4,161.35,166.05,0,0.01,20.74,0.16,2.3,12.64,0.01,0,0.16,,,,,,6,434,289.77,64,0,1.64
Cs,55,132.91,6,1,1,5,0,2.98,264,2.25,4.31,2.6,251.8,1.81,0.79,0.77,0.79,2.18,4.43,2.18,0.66,1,1,1,1,0,0,0,1,6,10,14,1,376,59.6,301.55,942.15,0.01,1.87,31.9,0.24,2.09,67.74,35.9,79,0.8,1.57,0.17,69.23,1.95,,1,523.5,1938,40.5,43,0.91
Ba,56,137.33,6,2,2,9,0,2.53,223,1.98,3.4,2.15,206,1.49,0.89,1.08,0.98,2.4,4.47,2.4,0.88,2,2,2,2,0,0,0,0,6,10,14,2,503,39.7,998.15,1913.15,0.03,3.5,28.01,0.2,7.75,142,18.4,180,1.9,10.2,0.53,38.1,2.52,4.9,2,435,3270,111,116,1.6
La,57,138.91,6,3,3,13,2,1.95,187,1.69,3.08,1.95,191.5,1.36,1.1,1.35,1.04,3.1,4.52,3.1,1.09,3,3,1,2,0,1,0,0,6,9,14,2,538,31.1,1193.15,3727.15,0.04,6.15,26.39,0.19,6.2,414,13.5,423,4.47,27.9,1.64,22.55,3.5,14,1,373,10500,150,135,2.7
Ce,58,140.12,6,3,3,15,3,1.85,182,1.65,4.5,1.85,197.8,1.15,1.12,1.1,1.05,,4.57,3.1,1.09,3.2,3,3,2,0,1,1,0,6,9,13,2,534,29.6,1071.15,3530.15,0.05,6.66,26.62,0.19,5.46,414,11.4,419,4.32,21.5,1.69,21.62,2.9,14,1,365,10400,179,138,2.91
Pr,59,140.91,6,3,3,17,3,2.47,183,1.65,4.48,1.85,194.2,1.32,1.13,1.1,1.06,1.06,4.64,3.1,1.09,3.1,3,3,2,0,0,3,0,6,10,11,2,527,28.2,1204.15,3290.15,0.05,6.77,26.77,0.19,6.89,296.8,12.5,356,3.7,28.8,1.73,20.79,2.7,15,3,363,8900,152,138,2.92
Nd,60,144.24,6,3,3,19,3,2.06,182,1.84,3.99,1.85,191.2,1.3,1.14,1.2,1.03,,4.72,3.1,1.09,3.1,3,3,2,0,0,4,0,6,10,10,2,533,31.4,1289.15,3400.15,0.05,7,27.41,0.19,7.14,273,16.5,328,3.4,31.8,1.73,20.58,3.2,16,4,366,7900,163,148,2.93
Pm,61,144.9127,6,3,3,21,3,2.05,185,1.63,3.99,1.85,188.2,1.28,1.13,1.15,1.04,1.04,4.8006,3.1,1.09,3,3,3,2,0,0,5,0,6,10,9,2,535,30.1,1315.15,3273.15,5.01E-02,7.26,26.084286,0.18,7.88,214,15,301,0,33,1.77,20.25,,18,5,321,6800,,,
Sm,62,150.36,6,3,3,23,3,2.38,185,1.62,4.14,1.85,185.4,1.1,1.17,1.2,1.05,1.05,4.8955,3.1,1.09,2.8,3,3,2,0,0,6,0,6,10,8,2,545,28.8,1347.15,2067.15,5.00E-02,7.52,30.072,0.2,8.63,166.4,13.3,207,2.14,37.8,1.77,20.01,2.7,20,6,359,5440,169,184,3.03
